record_id,recorded_at,job_id,execution_id,user_id,workflow_id,pipeline_id,vm_name,stage_id,stage_number,tool_id,tool_name,input_size_bytes,input_size_mib,input_file_count,input_types,input_filenames,output_count,output_size_bytes,runtime_seconds,resource_profile,threads,cpu_limit_millis,memory_limit_mib,storage_limit_mib,cpu_core_seconds,allocated_cpu_core_seconds,measured_cpu_core_seconds,estimated_flops,measured_flops,flops_is_estimated,flops_per_core_second,flops_source,flops_accuracy_note,data_size_gb,read_count_millions,sample_count,selected_tools,input_formats,pod_cpu_cores,pod_memory_gb,pod_ephemeral_storage_gb,requested_threads,cloud_provider,instance_family
23:22:step-1,2026-04-20T19:55:43Z,23,22,4,23,,vm1,step-1,1,FASTQC,FastQC,1114004424,1062.397408,2,fastq,ecoli_f.fastq;ecoli_r.fastq,4,1991009,81.137717,adaptive,1,500,2048,2087,23.196118,40.568858,23.196118,964958508799.9999,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.037497468,,2,FASTQC,fastq,0.5,2.0,2.038086,1,local-kubernetes,vm1
24:23:node-2d7072a6-f3ac-425a-932a-5dd36a1decb8,2026-04-20T20:24:42Z,24,23,4,24,15,vm1,node-2d7072a6-f3ac-425a-932a-5dd36a1decb8,1,FASTQC,FastQC,1114004424,1062.397408,2,fastq,ecoli_f.fastq;ecoli_r.fastq,4,1991009,64.363625,adaptive,1,500,2048,2087,22.921712,32.181812,22.921712,953543219200.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.037497468,,2,FASTQC,fastq,0.5,2.0,2.038086,1,local-kubernetes,vm1
24:23:node-f5f58364-c85a-489e-94e4-7a113da80b60,2026-04-20T20:25:48Z,24,23,4,24,15,vm1,node-f5f58364-c85a-489e-94e4-7a113da80b60,2,FASTQC,FastQC,1114004424,1062.397408,2,fastq,ecoli_f.fastq;ecoli_r.fastq,4,1991009,65.138149,adaptive,1,500,2048,2087,22.851296,32.569074,22.851296,950613913600.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.037497468,,2,FASTQC,fastq,0.5,2.0,2.038086,1,local-kubernetes,vm1
26:25:node-f5f58364-c85a-489e-94e4-7a113da80b60,2026-04-20T21:54:17Z,26,25,4,26,15,vm1,node-f5f58364-c85a-489e-94e4-7a113da80b60,1,FASTQC,FastQC,1671034275,1593.62247,3,fastq,eren_1765934122_ecoli_f.fastq;eren_1765934196_ecoli_r.fastq;eren_1765934196_ecoli_r.fastq,4,1993086,94.281253,adaptive,1,500,2048,2618,32.554384,47.140627,32.554384,1354262374400.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.556271943,,3,FASTQC,fastq,0.5,2.0,2.556641,1,local-kubernetes,vm1
27:26:step-1,2026-04-21T11:52:59Z,27,26,4,27,,vm1,step-1,1,FASTQC,FastQC,557029851,531.225062,1,fastq,eren_1765934196_ecoli_r.fastq,2,1008774,49.033897,adapti2-aadc-024a063afd26,2026-04-21T11:58:23Z,28,27,4,28,16,vm1,node-f0daa225-cc3d-4432-aadc-024a063afd26,1,FASTQC,FastQC,1114004424,1062.ve,1,500,2048,1556,12.923861,24.516949,12.923861,537632617600.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",0.518774475,,1,FASTQC,fastq,0.5,2.0,1.519531,1,local-kubernetes,vm1
28:27:node-f0daa225-cc3d-443397408,2,fastq,eren_1765934122_ecoli_f.fastq;eren_1765934196_ecoli_r.fastq,4,1993086,64.592644,adaptive,1,500,2048,2087,21.797919,32.296322,21.797919,906793430400.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.037497468,,2,FASTQC,fastq,0.5,2.0,2.038086,1,local-kubernetes,vm1
28:27:node-d777e7a7-dfaf-406f-9167-a5aa887fb36d,2026-04-21T12:48:40Z,28,27,4,28,16,vm1,node-d777e7a7-dfaf-406f-9167-a5aa887fb36d,3,SPADES,SPAdes,1115997510,1064.298162,6,fastq;html;zip,eren_1765934122_ecoli_f.fastq;eren_1765934196_ecoli_r.fastq;fastqc__read01.zip;fastqc__read01.html;fastqc__read02.html;fastqc__read02.zip,36,64610296,2989.214592,low-resource,1,500,2560,5243,1481.693003,1494.607296,1481.693003,61638428924800.0,,true,41600000000.0,machine_specs_machine+config_and_measured_cgroup_cpu_seconds,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs.",1.039353674,,6,SPADES,"fastq,html,zip",0.5,2.5,5.120117,1,local-kubernetes,vm1
37:37:step-1,2026-04-21T16:05:38Z,37,37,5,37,,vm1,step-1,1,FASTQC,FastQC,1118712459,1066.88734,3,fasta;fastq,eren_1765934250_ecoli.fasta;eren_1765934196_ecoli_r.fastq;eren_1765934122_ecoli_f.fastq,4,1993086,159.803268,adaptive,1,500,2048,2091,79.901634,79.901634,,3323907974400.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",1.041882168,,3,FASTQC,"fasta,fastq",0.5,2.0,2.041992,1,local-kubernetes,vm1
38:38:step-1,2026-04-21T16:43:35Z,38,38,5,38,,vm1,step-1,1,FASTQC,FastQC,557029851,531.225062,1,fastq,eren_1765934196_ecoli_r.fastq,2,1008774,73.548278,adaptive,1,500,2048,1556,36.774139,36.774139,,1529804182400.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.518774475,,1,FASTQC,fastq,0.5,2.0,1.519531,1,local-kubernetes,vm1
39:39:node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,2026-04-21T18:22:58Z,39,39,5,39,13,vm1,node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,1,FASTQC,FastQC,277304169,264.457864,1,fastq,ERR16965057.fastq.gz,2,916060,179.793322,adaptive,1,500,2048,1289,89.896661,89.896661,,3739701097600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.258259633,,1,FASTQC,fastq,0.5,2.0,1.258789,1,local-kubernetes,vm1
